"Age","Total","Visual","Auditory","Touch","smellTaste","Movement","multiSensory","Gender","Country","Smell","Region"
"<20",21,0,4,6,4,7,0,"Female","South Africa",2,"southAfrica"
"20-35",-27,-6,-5,-9,-5,-2,0,"Male","South Africa",-1,"southAfrica"
NA,15,2,1,5,1,0,6,"Male","South Africa",-1,"southAfrica"
"20-35",-8,-2,-4,1,-5,2,0,"Male","South Africa",-1,"southAfrica"
"50+",12,3,2,5,0,-1,3,"Female","South Africa",-1,"southAfrica"
"50+",-34,-3,-6,-9,-2,-7,-7,"Female","South Africa",-1,"southAfrica"
"35-50",-23,-5,-4,-5,-3,-3,-3,"Female","South Africa",-3,"southAfrica"
"35-50",1,0,-6,-2,1,5,3,"Male","South Africa",1,"southAfrica"
"<20",-8,-5,-2,-1,0,-1,1,"Female","South Africa",0,"southAfrica"
"35-50",-11,-5,-3,2,-2,-4,1,"Female","South Africa",-1,"southAfrica"
"35-50",-10,-2,-4,0,0,-4,0,"Female","Namibia",-1,"Africa"
"20-35",7,-1,-2,3,3,4,0,"Female","South Africa",1,"southAfrica"
"20-35",-15,-3,-5,-3,0,0,-4,"Male","South Africa",0,"southAfrica"
"20-35",2,-1,0,-3,0,2,4,"Female","United Kingdom",-1,"UKireland"
"20-35",-25,-6,-6,-5,2,-5,-5,"Male","South Africa",1,"southAfrica"
NA,4,0,-3,3,3,-3,4,"Female","United Kingdom",1,"UKireland"
"20-35",0,1,-1,-1,1,-1,1,"Female","South Africa",0,"southAfrica"
"20-35",-10,-5,-5,3,-3,1,-1,"Female","South Africa",0,"southAfrica"
"20-35",10,-1,-6,8,2,7,0,"Female","South Africa",2,"southAfrica"
"<20",-10,-5,0,0,0,-2,-3,"Female","South Africa",1,"southAfrica"
"50+",-6,-2,5,-7,-4,-4,6,"Female","South Africa",-3,"southAfrica"
"35-50",-25,-6,-6,-4,-3,-5,-1,"Female","United Kingdom",-3,"UKireland"
"<20",10,1,2,5,0,1,1,"Male","South Africa",-1,"southAfrica"
"20-35",19,3,1,-1,5,3,8,"Male","South Africa",3,"southAfrica"
NA,19,5,5,7,0,-2,4,"Female","South Africa",0,"southAfrica"
"20-35",-2,-4,-1,-1,3,2,-1,"Female","Australia",1,"AustrNZ"
"35-50",22,3,1,1,7,4,6,"Male","South Africa",3,"southAfrica"
"35-50",1,4,0,3,-3,0,-3,"Male","South Africa",-4,"southAfrica"
"50+",2,0,-2,2,1,-1,2,"Female","South Africa",-1,"southAfrica"
"50+",17,4,4,1,0,3,5,"Female","South Africa",-1,"southAfrica"
"35-50",-21,-3,-7,-4,-3,-5,1,"Male","South Africa",-3,"southAfrica"
"20-35",-12,-6,1,-5,-2,1,-1,"Female","South Africa",2,"southAfrica"
"35-50",-21,-5,-1,-4,-5,-5,-1,"Male","South Africa",-2,"southAfrica"
"20-35",-20,-7,-2,-2,-4,-3,-2,"Female","South Africa",-4,"southAfrica"
NA,-13,-3,-7,-4,-2,2,1,"Female","Australia",0,"AustrNZ"
"35-50",10,0,-2,5,4,3,0,"Male","South Africa",2,"southAfrica"
"20-35",-1,-1,-3,2,5,-1,-3,"Female","South Africa",3,"southAfrica"
"<20",-16,-1,-5,-5,-3,1,-3,"Female","South Africa",-2,"southAfrica"
"35-50",14,-2,3,7,3,0,3,"Male","South Africa",3,"southAfrica"
"35-50",0,-3,-5,1,3,3,1,"Female","South Africa",1,"southAfrica"
NA,-3,-4,-4,3,4,-1,-1,"Female","United States",2,"northAmerica"
"20-35",-18,-1,-5,-8,-2,1,-3,"Male","South Africa",2,"southAfrica"
NA,18,2,2,3,3,5,3,"Female","South Africa",2,"southAfrica"
"20-35",8,2,0,0,8,-3,1,"Female","South Africa",5,"southAfrica"
"35-50",-26,-2,-3,-8,-6,-3,-4,"Female","Australia",-1,"AustrNZ"
NA,-23,-5,-9,-2,-4,-2,-1,"Female","Australia",-4,"AustrNZ"
"50+",-10,-4,-5,3,-3,0,-1,"Female","United States",-2,"northAmerica"
"<20",-24,-8,-7,-2,-1,-2,-4,"Female","South Africa",-2,"southAfrica"
"35-50",-11,-5,-9,8,4,-2,-7,"Female","South Africa",2,"southAfrica"
"20-35",-6,-3,-3,4,-4,-1,1,"Female","South Africa",0,"southAfrica"
"20-35",0,3,-9,0,2,0,4,"Female","South Africa",3,"southAfrica"
"20-35",-2,-3,-3,3,0,0,1,"Male","South Africa",0,"southAfrica"
"<20",11,-1,2,3,-1,3,5,"Female","South Africa",-1,"southAfrica"
"20-35",-7,-3,-7,0,1,4,-2,"Female","South Africa",4,"southAfrica"
"<20",13,0,5,3,1,1,3,"Male","South Africa",0,"southAfrica"
"35-50",-16,-3,-6,1,-9,3,-2,"Female","South Africa",-4,"southAfrica"
"20-35",-23,-5,-4,-3,-4,-3,-4,"Male","South Africa",-3,"southAfrica"
"35-50",-39,-6,-6,-5,-8,-5,-9,"Female","South Africa",-4,"southAfrica"
"35-50",-1,3,-8,10,-3,-1,-2,"Female","South Africa",-2,"southAfrica"
"<20",-19,-4,-2,-7,0,-1,-5,"Female","South Africa",2,"southAfrica"
"50+",-27,-7,-5,-8,1,-1,-7,"Male","South Africa",-1,"southAfrica"
"35-50",-24,-4,-2,-8,-4,-1,-5,"Female","South Africa",-4,"southAfrica"
"35-50",-15,-8,-6,4,-1,-2,-2,"Female","Australia",-3,"AustrNZ"
"35-50",-32,-6,-4,-7,-4,-6,-5,"Female","South Africa",-1,"southAfrica"
"35-50",4,3,-2,4,1,-2,0,"Female","Australia",2,"AustrNZ"
"35-50",-19,-6,-7,-4,-3,2,-1,"Female","South Africa",-4,"southAfrica"
"<20",-4,-4,1,-6,3,3,-1,"Female","South Africa",3,"southAfrica"
"35-50",11,2,3,3,4,1,-2,"Male","South Africa",3,"southAfrica"
"35-50",3,-1,-3,3,2,1,1,"Female","South Africa",1,"southAfrica"
"20-35",-8,2,-2,-3,0,-3,-2,"Female","South Africa",1,"southAfrica"
"50+",-7,0,-7,3,-1,2,-4,"Male","South Africa",-3,"southAfrica"
"20-35",3,4,-3,-2,1,1,2,"Male","South Africa",-1,"southAfrica"
"20-35",-17,-6,-5,1,-7,3,-3,"Female","South Africa",-4,"southAfrica"
NA,4,2,-6,3,1,0,4,"notSay","South Africa",0,"southAfrica"
"<20",18,2,2,5,4,5,0,"Male","South Africa",3,"southAfrica"
NA,-1,-1,-3,3,-1,5,-4,"Female","South Africa",-2,"southAfrica"
"<20",16,2,-1,6,2,2,5,"Male","South Africa",1,"southAfrica"
"35-50",2,-3,-2,2,1,1,3,"Female","South Africa",0,"southAfrica"
"20-35",5,0,5,0,3,-1,-2,"Male","South Africa",0,"southAfrica"
"20-35",-12,-4,-5,-2,-1,3,-3,"Female","South Africa",-2,"southAfrica"
"20-35",-23,-5,-6,-5,2,-4,-5,"Male","South Africa",0,"southAfrica"
"35-50",16,2,0,3,5,2,4,"Male","South Africa",5,"southAfrica"
"50+",-2,2,-4,-3,2,-1,2,"Female","South Africa",-1,"southAfrica"
"35-50",-25,-5,-4,-7,-3,-5,-1,"Female","South Africa",-3,"southAfrica"
"50+",7,0,1,4,3,0,-1,"Male","South Africa",4,"southAfrica"
"35-50",-26,-4,-7,-4,-5,-2,-4,"Female","South Africa",-3,"southAfrica"
"35-50",-1,-1,0,3,1,-2,-2,"Female","South Africa",3,"southAfrica"
"35-50",-6,2,-5,-2,-2,4,-3,"Female","South Africa",2,"southAfrica"
"20-35",-14,-5,-6,-1,1,3,-6,"Male","South Africa",1,"southAfrica"
"35-50",6,-3,1,1,1,2,4,"Female","South Africa",-1,"southAfrica"
"<20",-14,1,-4,-3,-2,-4,-2,"Male","South Africa",0,"southAfrica"
NA,-1,-1,-4,5,0,-1,0,"Female","United States",0,"northAmerica"
"35-50",-11,1,-5,-5,1,2,-5,"Female","South Africa",4,"southAfrica"
"<20",10,3,2,2,1,-1,3,"Female","South Africa",-1,"southAfrica"
"<20",10,2,3,2,6,-5,2,"Female","South Africa",4,"southAfrica"
"20-35",-14,-2,-5,3,4,-7,-7,"Female","South Africa",3,"southAfrica"
"20-35",-42,-8,-10,-9,-8,-1,-6,"Male","South Africa",-4,"southAfrica"
"50+",2,2,-2,2,-2,-1,3,"Female","South Africa",-1,"southAfrica"
"20-35",-4,-1,-4,-2,8,-2,-3,"Female","South Africa",4,"southAfrica"
"<20",-18,1,-7,-6,-4,-2,0,"Female","South Africa",-1,"southAfrica"
NA,8,-5,6,2,-1,3,3,"Female","South Africa",0,"southAfrica"
"<20",0,-3,2,0,-5,5,1,"Male","South Africa",0,"southAfrica"
"20-35",1,1,0,6,0,-5,-1,"Female","South Africa",1,"southAfrica"
"20-35",-26,-2,-4,-6,-4,-6,-4,"Female","South Africa",-2,"southAfrica"
"35-50",-14,-3,-5,-4,3,1,-6,"Male","South Africa",1,"southAfrica"
"50+",-13,-6,-5,0,0,-1,-1,"Male","South Africa",-1,"southAfrica"
"<20",16,2,-1,2,1,7,5,"Female","South Africa",1,"southAfrica"
"20-35",-22,1,-6,-7,1,-7,-4,"Female","South Africa",1,"southAfrica"
"35-50",-25,-5,-5,-3,-8,-1,-3,"Female","South Africa",-3,"southAfrica"
"<20",-18,-5,-3,-7,0,0,-3,"Female","South Africa",0,"southAfrica"
"50+",-5,-1,-5,-2,-1,3,1,"Female","Canada",-1,"northAmerica"
"<20",-11,-2,-2,-6,-3,5,-3,"Other","South Africa",1,"southAfrica"
"<20",-5,-2,1,-5,1,-2,2,"Female","South Africa",1,"southAfrica"
"20-35",0,4,-7,2,4,-3,0,"Female","South Africa",2,"southAfrica"
"20-35",1,2,2,0,-1,-1,-1,"Male","South Africa",1,"southAfrica"
"50+",-7,-3,-5,3,-1,2,-3,"Female","South Africa",-1,"southAfrica"
"20-35",-39,-4,-9,-3,-10,-7,-6,"Female","South Africa",-5,"southAfrica"
"20-35",-23,-7,-2,-5,-6,2,-5,"Female","South Africa",-3,"southAfrica"
NA,-24,-5,-3,-4,-1,-5,-6,"Female","South Africa",0,"southAfrica"
"20-35",-3,3,1,-5,2,-1,-3,"Male","South Africa",-1,"southAfrica"
"50+",-3,3,-8,0,1,0,1,"Male","South Africa",0,"southAfrica"
"<20",-20,-3,-6,-4,-2,-1,-4,"Male","South Africa",-1,"southAfrica"
"<20",-4,0,1,-1,-1,-5,2,"Female","South Africa",2,"southAfrica"
"20-35",-10,-2,-7,-4,-1,-1,5,"Male","South Africa",1,"southAfrica"
"20-35",-27,-1,-8,-3,-4,-7,-4,"Female","South Africa",-3,"southAfrica"
"20-35",4,-1,-6,5,3,1,2,"Female","South Africa",1,"southAfrica"
"35-50",-6,1,-4,-1,1,0,-3,"Male","South Africa",0,"southAfrica"
"20-35",11,0,-2,2,-1,8,4,"Female","South Africa",-1,"southAfrica"
"35-50",-6,-4,0,2,-5,-1,2,"Female","South Africa",-1,"southAfrica"
"35-50",-21,-2,-5,-5,-2,-1,-6,"Female","South Africa",0,"southAfrica"
"20-35",-9,1,-5,-3,-2,-1,1,"Female","South Africa",0,"southAfrica"
NA,9,2,1,3,2,0,1,"Male","South Africa",-2,"southAfrica"
"50+",-10,-1,-7,3,0,-3,-2,"Female","United States",1,"northAmerica"
"<20",6,-2,4,0,-2,4,2,"Female","South Africa",0,"southAfrica"
"35-50",-19,-3,-3,1,-6,-5,-3,"Female","South Africa",-3,"southAfrica"
"20-35",-16,-7,-3,-5,-1,4,-4,"Female","South Africa",-2,"southAfrica"
NA,-10,-3,-1,-3,-2,1,-2,"Other","Australia",-1,"AustrNZ"
"35-50",-12,-3,-3,0,-1,-3,-2,"Male","United Kingdom",2,"UKireland"
"<20",5,0,2,1,1,2,-1,"Male","South Africa",2,"southAfrica"
"50+",-18,-5,-8,-2,-1,-1,-1,"Female","South Africa",1,"southAfrica"
"35-50",6,4,-1,4,-4,2,1,"notSay","South Africa",-4,"southAfrica"
"35-50",-8,-1,-2,-2,3,-4,-2,"Male","South Africa",4,"southAfrica"
"20-35",-7,-2,-3,-1,-2,1,0,"Female","South Africa",0,"southAfrica"
"<20",6,-2,2,0,-2,3,5,"Female","South Africa",-3,"southAfrica"
"35-50",-9,-2,-5,1,4,-2,-5,"Female","South Africa",2,"southAfrica"
"20-35",-23,-5,-6,-9,-3,3,-3,"Male","South Africa",-1,"southAfrica"
"<20",14,6,3,3,-4,4,2,"Female","United Kingdom",-1,"UKireland"
NA,-8,1,-7,-3,-3,2,2,"Female","South Africa",-4,"southAfrica"
"<20",-19,-3,-6,-5,-5,2,-2,"Female","Namibia",-4,"Africa"
"<20",-2,-2,-7,1,4,2,0,"Male","South Africa",3,"southAfrica"
"20-35",-34,-6,-9,-7,-1,-6,-5,"Female","Australia",0,"AustrNZ"
"<20",3,3,-1,1,-3,1,2,"Female","United Kingdom",1,"UKireland"
"50+",12,2,4,1,5,-3,3,"Male","United States",3,"northAmerica"
"20-35",1,1,-5,3,1,2,-1,"Female","South Africa",0,"southAfrica"
"35-50",12,-1,1,7,-3,4,4,"Female","South Africa",-1,"southAfrica"
"35-50",4,0,-3,3,-1,2,3,"Female","South Africa",1,"southAfrica"
"<20",-9,-2,0,-4,0,-3,0,"Male","South Africa",-1,"southAfrica"
"35-50",-16,-5,-6,7,-2,-5,-5,"Female","South Africa",1,"southAfrica"
"50+",-34,-3,-6,-8,-2,-7,-8,"Male","South Africa",-1,"southAfrica"
"20-35",-19,-3,-3,-4,-4,-4,-1,"Female","South Africa",-3,"southAfrica"
"50+",-34,-4,-9,-6,-4,-2,-9,"Female","South Africa",-3,"southAfrica"
"50+",5,-2,3,2,1,0,1,"Female","South Africa",1,"southAfrica"
"35-50",-28,-6,-5,-4,-3,-7,-3,"Female","South Africa",2,"southAfrica"
NA,-12,0,-3,-5,-2,-1,-1,"Male","South Africa",-3,"southAfrica"
"<20",-3,-5,-2,1,1,3,-1,"Male","South Africa",1,"southAfrica"
"50+",-18,-5,-7,4,1,-5,-6,"Female","South Africa",0,"southAfrica"
"20-35",-24,-2,-3,-7,-4,-4,-4,"Female","South Africa",-4,"southAfrica"
"20-35",4,1,2,-1,1,-1,2,"Female","South Africa",-1,"southAfrica"
"<20",-1,4,-1,-2,1,0,-3,"Female","South Africa",1,"southAfrica"
"20-35",-4,-1,-4,2,1,-1,-1,"Female","South Africa",3,"southAfrica"
"50+",-28,-5,-8,-4,-3,-3,-5,"Female","South Africa",-2,"southAfrica"
"20-35",-9,-2,-4,-2,1,2,-4,"Male","South Africa",-1,"southAfrica"
"35-50",-9,-2,-6,-1,1,-1,0,"Female","South Africa",-1,"southAfrica"
"50+",-16,-7,-8,3,0,-3,-1,"Female","South Africa",0,"southAfrica"
"20-35",9,4,1,1,0,1,2,"Female","South Africa",3,"southAfrica"
"50+",1,-3,-4,4,0,1,3,"Female","South Africa",0,"southAfrica"
"<20",-27,-3,-4,-7,-5,-4,-4,"Female","South Georgia and The South Sandwich Islands",-3,"Other"
"20-35",-24,-1,-6,-3,-6,-6,-2,"Female","South Africa",-3,"southAfrica"
"20-35",23,6,5,9,3,0,0,"Male","South Africa",1,"southAfrica"
"20-35",-38,-3,-8,-9,-7,-5,-6,"Female","South Africa",-5,"southAfrica"
"20-35",-25,-5,-6,-5,-7,0,-2,"Female","South Africa",-4,"southAfrica"
"35-50",-13,1,-5,-8,4,-4,-1,"Female","South Africa",5,"southAfrica"
"35-50",-24,-5,-6,-5,2,-4,-6,"Male","United Kingdom",2,"UKireland"
NA,-28,-5,-6,-7,-5,-1,-4,"notSay","United States",-3,"northAmerica"
NA,-6,-4,-4,0,3,-1,0,"notSay","South Africa",5,"southAfrica"
"<20",9,-1,2,5,-1,4,0,"Male","South Africa",-1,"southAfrica"
"20-35",-11,-1,-6,-3,-3,5,-3,"Female","South Africa",-1,"southAfrica"
"<20",-7,-2,-2,-1,-1,3,-4,"Female","South Africa",0,"southAfrica"
"20-35",-22,0,-3,-4,-5,-7,-3,"Female","South Africa",-2,"southAfrica"
"<20",-16,-4,-1,-4,-2,-4,-1,"Female","South Africa",0,"southAfrica"
"20-35",-14,-5,-5,3,1,-2,-6,"Female","South Africa",0,"southAfrica"
NA,-5,0,-4,0,0,-2,1,"Female","South Africa",2,"southAfrica"
"<20",-15,-2,-5,-6,-1,-1,0,"Female","South Africa",1,"southAfrica"
"50+",-8,5,-6,1,-3,-6,1,"Female","South Africa",-1,"southAfrica"
NA,-2,1,-1,-1,0,-2,1,"notSay","South Africa",0,"southAfrica"
NA,-29,-5,-8,-6,-5,0,-5,"notSay","South Africa",-2,"southAfrica"
"35-50",-19,-5,-3,1,-7,-4,-1,"Male","South Africa",-3,"southAfrica"
"20-35",-14,-1,-4,-6,-2,1,-2,"Male","South Africa",-2,"southAfrica"
"<20",-19,-6,-1,-4,-3,0,-5,"Female","South Africa",-1,"southAfrica"
"35-50",0,1,-4,5,0,-3,1,"Female","South Africa",-1,"southAfrica"
"50+",-5,-3,-4,-3,2,-1,4,"Female","South Africa",0,"southAfrica"
"<20",3,-2,6,-2,0,2,-1,"Female","South Africa",0,"southAfrica"
"<20",-15,-4,-5,0,-6,1,-1,"Female","South Africa",-2,"southAfrica"
"20-35",-19,-3,-4,-3,-2,-4,-3,"Female","South Africa",0,"southAfrica"
NA,15,1,-4,9,2,4,3,"Female","South Africa",2,"southAfrica"
"20-35",8,-1,6,3,-3,1,2,"Female","South Africa",-2,"southAfrica"
"20-35",-5,-3,1,4,0,-3,-4,"Female","South Africa",1,"southAfrica"
"20-35",-21,-4,-6,-3,0,-4,-4,"Female","South Africa",-1,"southAfrica"
"35-50",-7,0,4,-2,-2,0,-7,"Male","South Africa",-1,"southAfrica"
"20-35",-7,-1,1,-7,1,-2,1,"Female","Canada",0,"northAmerica"
"<20",4,2,0,5,-1,1,-3,"Female","South Africa",1,"southAfrica"
"<20",-8,-4,0,-1,-4,0,1,"Female","South Africa",-2,"southAfrica"
"35-50",-7,-1,-1,-6,-3,2,2,"Male","South Africa",-2,"southAfrica"
"<20",-11,0,-4,-8,-2,3,0,"Female","South Africa",-1,"southAfrica"
"50+",15,4,3,1,1,5,1,"Female","Australia",-1,"AustrNZ"
"<20",-12,-2,-1,-4,-5,4,-4,"Female","South Africa",-1,"southAfrica"
"50+",-2,-5,-4,5,3,3,-4,"Male","Australia",2,"AustrNZ"
"35-50",5,3,-4,4,5,-3,0,"Female","Australia",3,"AustrNZ"
NA,0,-5,-1,6,2,-4,2,"notSay","South Africa",4,"southAfrica"
"<20",-25,2,-3,-6,-5,-7,-6,"Other","South Africa",-1,"southAfrica"
"20-35",-10,-5,-5,0,2,-3,1,"Male","South Africa",2,"southAfrica"
"<20",29,2,7,5,0,7,8,"Female","South Africa",0,"southAfrica"
"<20",-16,-3,0,-6,0,-3,-4,"Female","South Africa",2,"southAfrica"
"35-50",-23,-2,-6,-7,-1,-1,-6,"Female","South Africa",1,"southAfrica"
NA,-34,-4,-8,-6,-5,-5,-6,"Female","South Africa",-3,"southAfrica"
"<20",-19,-5,-4,-4,-5,3,-4,"Male","South Africa",-3,"southAfrica"
"20-35",-17,-7,-10,-3,1,5,-3,"Male","South Africa",-1,"southAfrica"
"<20",-11,0,-3,-7,0,2,-3,"Male","South Africa",0,"southAfrica"
"<20",1,2,1,-3,-3,4,0,"Female","South Africa",-3,"southAfrica"
"35-50",-12,-1,-2,-3,-2,-3,-1,"Female","South Africa",-2,"southAfrica"
"<20",15,3,6,0,-1,3,4,"Female","Australia",1,"AustrNZ"
"20-35",2,-4,-3,1,6,2,0,"Female","South Africa",4,"southAfrica"
"<20",-18,-5,-8,-3,-1,0,-1,"Male","Australia",0,"AustrNZ"
"<20",-6,-3,-4,-2,1,5,-3,"Male","South Africa",0,"southAfrica"
"50+",-31,-5,-6,-8,-7,-4,-1,"Female","South Africa",-3,"southAfrica"
"<20",-23,-2,-5,-7,-2,-1,-6,"Female","South Africa",1,"southAfrica"
"20-35",-35,-7,-6,-4,-6,-5,-7,"Other","United Kingdom",-2,"UKireland"
"<20",6,1,1,1,2,2,-1,"Male","South Africa",1,"southAfrica"
"20-35",-8,1,-2,-3,-1,-2,-1,"Male","South Africa",0,"southAfrica"
"20-35",-30,-3,-6,-3,-9,-5,-4,"Male","South Africa",-5,"southAfrica"
"20-35",-18,0,-5,-4,-7,1,-3,"Female","South Africa",-2,"southAfrica"
"<20",0,0,2,-1,1,-2,0,"Male","South Africa",0,"southAfrica"
"50+",-22,-4,-7,-3,-4,-1,-3,"Female","South Africa",-4,"southAfrica"
"50+",-8,-1,-2,0,1,-6,0,"Male","South Africa",1,"southAfrica"
"20-35",-20,-2,-5,-2,-6,0,-5,"Female","South Africa",-3,"southAfrica"
"<20",0,-4,-2,-1,3,5,-1,"Female","South Africa",3,"southAfrica"
"35-50",-10,-2,-6,3,2,-4,-3,"Female","Tanzania, United Republic of",0,"Africa"
"20-35",-25,-2,-7,-5,-3,-1,-7,"Female","South Africa",-1,"southAfrica"
"<20",-16,-4,-3,-4,-5,0,0,"Female","South Africa",-2,"southAfrica"
"20-35",8,2,0,1,-2,2,5,"Female","South Africa",-3,"southAfrica"
"20-35",5,-5,-2,4,3,2,3,"Female","South Africa",1,"southAfrica"
"35-50",-14,1,-4,-1,-3,-4,-3,"Female","South Africa",-1,"southAfrica"
"<20",19,2,3,2,1,4,7,"Female","South Africa",0,"southAfrica"
"35-50",-1,-2,-3,2,-1,3,0,"Female","Canada",-1,"northAmerica"
"35-50",-17,-1,-8,0,-2,-1,-5,"Female","South Africa",1,"southAfrica"
"<20",0,-2,2,6,-6,-1,1,"Male","South Africa",-2,"southAfrica"
"<20",-14,-4,-4,0,0,-6,0,"Male","South Africa",0,"southAfrica"
"<20",-31,-8,-5,-6,-1,-5,-6,"Male","South Africa",2,"southAfrica"
"<20",-5,0,1,-3,-1,0,-2,"Female","South Africa",2,"southAfrica"
"50+",7,2,-6,6,2,-4,7,"Female","South Africa",3,"southAfrica"
"20-35",-26,-6,-4,-4,-3,-1,-8,"Female","South Africa",-3,"southAfrica"
"50+",6,0,2,3,1,0,0,"Female","South Africa",2,"southAfrica"
"35-50",6,0,3,-2,5,0,0,"Female","South Africa",3,"southAfrica"
"20-35",-8,-1,-9,-2,3,3,-2,"Female","South Africa",2,"southAfrica"
"35-50",1,1,-4,6,0,-1,-1,"Female","South Africa",-1,"southAfrica"
NA,-11,-5,-8,-3,4,1,0,"Female","South Africa",3,"southAfrica"
"35-50",20,2,1,6,5,1,5,"Female","South Africa",3,"southAfrica"
"20-35",-22,-4,-2,-6,-6,-1,-3,"Female","South Africa",-2,"southAfrica"
"20-35",-13,-5,-9,-1,3,0,-1,"Female","South Africa",1,"southAfrica"
"20-35",21,3,3,5,-1,5,6,"Female","South Africa",1,"southAfrica"
"50+",-11,-2,-4,4,3,-7,-5,"Female","Australia",1,"AustrNZ"
"35-50",31,5,5,7,4,6,4,"Female","Singapore",2,"Other"
"35-50",-18,-3,-9,-2,0,-2,-2,"Female","South Africa",-1,"southAfrica"
"35-50",-8,-4,-3,-4,-2,1,4,"Female","Singapore",-2,"Other"
"35-50",2,2,1,3,0,0,-4,"Male","South Africa",0,"southAfrica"
"<20",18,-1,3,4,4,1,7,"Male","South Africa",1,"southAfrica"
"20-35",4,-1,1,0,-1,6,-1,"Male","Australia",-3,"AustrNZ"
"20-35",13,4,1,0,4,1,3,"Female","Australia",2,"AustrNZ"
"50+",6,2,4,2,1,-4,1,"Male","South Africa",0,"southAfrica"
"<20",8,2,4,-3,5,1,-1,"Female","South Africa",3,"southAfrica"
"35-50",-4,-3,-5,1,1,2,0,"notSay","South Africa",2,"southAfrica"
"20-35",-19,-1,-7,0,-5,-6,0,"Female","South Africa",-4,"southAfrica"
"35-50",0,-1,0,1,0,-1,1,"Female","Australia",0,"AustrNZ"
"20-35",-3,-5,-3,0,1,6,-2,"Female","Australia",2,"AustrNZ"
"20-35",-42,-5,-7,-8,-9,-6,-7,"Female","South Africa",-5,"southAfrica"
"<20",14,1,2,-1,4,3,5,"Female","South Africa",1,"southAfrica"
"35-50",-28,-2,-4,-5,-8,-5,-4,"Female","United Kingdom",-4,"UKireland"
"20-35",13,2,-2,5,2,2,4,"Female","United Kingdom",1,"UKireland"
"50+",-4,-3,2,4,0,-6,-1,"Female","South Africa",0,"southAfrica"
"50+",3,0,-1,5,2,-1,-2,"Male","South Africa",1,"southAfrica"
"20-35",-1,-3,-2,-1,0,4,1,"Male","United Kingdom",-1,"UKireland"
"20-35",8,3,-1,0,0,4,2,"Male","South Africa",-1,"southAfrica"
"35-50",16,1,0,5,5,3,2,"Male","South Africa",3,"southAfrica"
"20-35",-8,-3,-7,3,5,-4,-2,"Female","South Africa",3,"southAfrica"
"35-50",19,3,5,4,-1,5,3,"notSay","South Africa",-2,"southAfrica"
"35-50",-2,-5,-6,6,1,1,1,"Female","Australia",-1,"AustrNZ"
"20-35",-15,0,-2,-7,-1,-1,-4,"Male","Australia",-2,"AustrNZ"
"35-50",-4,1,-6,-1,3,-1,0,"Female","South Africa",2,"southAfrica"
"50+",-34,-7,-7,-5,-3,-4,-8,"Female","South Africa",-2,"southAfrica"
"50+",26,4,4,7,2,3,6,"Male","United States",0,"northAmerica"
"50+",6,-3,-5,5,3,2,4,"Female","United States",1,"northAmerica"
"35-50",20,1,6,4,-3,6,6,"Male","Australia",-4,"AustrNZ"
NA,-6,-4,-7,4,-1,1,1,"Female","Australia",-1,"AustrNZ"
"35-50",2,-1,-5,4,1,1,2,"Female","Australia",0,"AustrNZ"
"20-35",-13,-3,0,-2,-5,-4,1,"Male","South Africa",-4,"southAfrica"
"35-50",5,2,-6,4,2,3,0,"Male","South Africa",2,"southAfrica"
"20-35",-15,-1,-5,0,-2,-3,-4,"Female","South Africa",-2,"southAfrica"
"20-35",-20,-2,-5,-5,-1,-4,-3,"Female","South Africa",-2,"southAfrica"
"20-35",19,6,1,-1,6,7,0,"Female","South Africa",5,"southAfrica"
"50+",-10,-2,-2,4,-4,-6,0,"notSay","South Africa",-5,"southAfrica"
"<20",9,2,3,2,-5,4,3,"Female","South Africa",-1,"southAfrica"
"<20",7,-1,0,1,1,3,3,"Female","South Africa",0,"southAfrica"
"20-35",-26,-6,-2,-10,-2,2,-8,"Male","South Africa",-1,"southAfrica"
"20-35",-14,-6,-4,3,-3,-2,-2,"Female","South Africa",1,"southAfrica"
"50+",-18,-1,-8,-1,-6,0,-2,"Female","South Africa",-2,"southAfrica"
"50+",17,8,5,4,-4,-2,6,"Female","South Africa",0,"southAfrica"
"20-35",-23,-5,-5,-5,-5,-1,-2,"Female","Australia",-1,"AustrNZ"
"<20",-18,-1,-3,-3,-3,-2,-6,"Male","South Africa",-2,"southAfrica"
"35-50",-8,-4,-8,1,1,4,-2,"Male","South Africa",-1,"southAfrica"
"20-35",36,3,8,4,6,8,7,"Male","South Africa",3,"southAfrica"
"20-35",-23,-4,-6,-6,-3,-2,-2,"Female","South Africa",-4,"southAfrica"
"20-35",19,3,2,9,5,-3,3,"Female","South Africa",2,"southAfrica"
"50+",3,-1,-1,2,0,1,2,"Male","South Africa",-2,"southAfrica"
"<20",4,-1,-1,-1,-2,7,2,"Male","South Africa",0,"southAfrica"
"50+",-13,-2,-3,3,-1,-6,-4,"Female","South Africa",2,"southAfrica"
"20-35",-31,-8,-4,-6,-9,1,-5,"Female","South Africa",-5,"southAfrica"
"35-50",8,1,5,-1,-2,4,1,"Female","South Africa",-3,"southAfrica"
"<20",-21,-3,-5,-7,-4,1,-3,"Male","South Africa",-2,"southAfrica"
"50+",1,-1,-3,6,1,-4,2,"Male","South Africa",0,"southAfrica"
"<20",-5,-4,-4,2,-2,1,2,"Female","South Africa",1,"southAfrica"
"50+",-15,-3,-7,-1,0,-3,-1,"Female","Australia",0,"AustrNZ"
"50+",-6,1,-3,1,-2,-2,-1,"Female","South Africa",0,"southAfrica"
